date,open,high,low,close,volume
2014-01-02,83.95,85.18,83.38,84.77,1566447
2014-01-03,84.79,85.1587,82.36,82.68,1463950
2014-01-06,83.0,85.47,82.75,84.35,2610519
2014-01-07,85.17,87.85,84.68,87.3,2885159
2014-01-08,88.07,89.48,87.32,88.96,2292986
2014-01-09,89.1,89.79,84.41,84.96,3162454
2014-01-10,85.44,86.86,84.36,85.72,1467527
2014-01-13,85.99,87.5,82.05,83.07,1839484
2014-01-14,84.99,85.25,82.86,84.99,1455814
2014-01-15,85.03,86.39,83.3255,84.6,2051912
2014-01-16,82.83,83.34,80.26,80.58,5177250
2014-01-17,78.13,78.165,74.48,75.02,8336041
2014-01-21,76.39,77.99,75.655,76.33,4202676
2014-01-22,77.11,77.45,76.5,77.07,2511705
2014-01-23,74.81,74.98,72.168,72.51,6823716
2014-01-24,71.58,72.212,69.155,70.03,4207706
2014-01-27,70.94,70.98,67.31,69.98,3345207
2014-01-28,71.5,72.94,71.49,71.84,2810047
2014-01-29,71.44,71.48,66.2,66.84,3951354
2014-01-30,68.65,69.3,67.0,67.11,3208325
2014-01-31,66.41,66.8399,65.0,65.19,3282696
2014-02-03,65.24,67.05,62.85,63.77,3117870
2014-02-04,64.72,66.53,64.09,65.68,3173023
2014-02-05,65.04,66.63,63.02,64.89,2582490
2014-02-06,65.53,66.83,65.05,65.41,2369595
2014-02-07,66.6,68.0,66.1901,67.12,3029259
2014-02-10,67.84,69.5,67.72,68.68,2399092
2014-02-11,69.37,69.66,67.54,67.97,2366036
2014-02-12,68.31,69.38,68.0,68.29,1647800
2014-02-13,68.0,70.95,67.35,70.5,2829734
2014-02-14,71.12,71.218,69.11,70.0,1986951
2014-02-18,72.1,74.44,71.5724,73.43,4672278
2014-02-19,73.9,74.83,72.87,73.01,2678285
2014-02-20,73.41,74.3,72.0,73.88,2152048
2014-02-21,73.93,74.2,72.58,72.95,2563096
2014-02-24,77.75,78.49,74.6,76.08,6461654
2014-02-25,72.5,72.79,68.14,68.98,9449835
2014-02-26,69.705,70.76,69.705,70.52,3855427
2014-02-27,71.17,71.93,68.0,68.11,5080558
2014-02-28,68.65,69.85,67.4,68.33,3300874
2014-03-03,66.81,67.5,65.524,67.29,4050919
2014-03-04,68.35,68.92,66.87,66.92,3260889
2014-03-05,67.01,68.22,66.88,67.68,2263654
2014-03-06,68.11,74.62,68.1,73.44,9351405
2014-03-07,75.42,76.13,71.77,72.41,5127606
2014-03-10,72.15,72.44,69.8,70.53,2596498
2014-03-11,70.81,71.67,68.53,68.69,2803579
2014-03-12,68.44,69.09,66.25,69.0,3313563
2014-03-13,70.39,70.39,65.1101,65.7,5688892
2014-03-14,66.02,66.115,62.65,64.59,4989493
2014-03-17,70.85,71.19,67.69,68.83,7874619
2014-03-18,68.18,68.6399,65.25,67.33,5211090
2014-03-19,67.31,68.4,66.07,67.11,3248872
2014-03-20,66.64,66.7,65.43,65.87,3495979
2014-03-21,66.83,66.9699,65.64,66.13,3582708
2014-03-24,66.86,66.86,62.82,64.16,4969030
2014-03-25,65.02,65.3,61.83,61.92,5729663
2014-03-26,62.84,62.97,59.57,59.63,5390542
2014-03-27,59.9,60.1,57.13,59.9,5932841
2014-03-28,60.84,61.28,58.36,58.95,3649805
2014-03-31,61.29,61.78,60.11,60.41,3509223
2014-04-01,61.32,62.22,61.0,61.53,2878177
2014-04-02,62.91,63.75,61.0,61.75,3151805
2014-04-03,61.62,62.0892,58.94,59.32,3320934
2014-04-04,59.75,59.9565,56.13,56.36,5203711
2014-04-07,56.0,56.36,52.51,53.59,5614070
2014-04-08,53.5,56.12,53.42,55.3,3571799
2014-04-09,55.94,56.89,54.65,56.85,2888282
2014-04-10,57.5,57.53,52.36,53.18,5173420
2014-04-11,54.18,55.4,52.18,52.46,5092542
2014-04-14,53.75,53.969,51.87,52.43,2948686
2014-04-15,52.5,53.4,49.6,53.09,4925340
2014-04-16,54.27,54.3899,51.76,52.99,3200337
2014-04-17,53.25,58.2,52.48,56.55,12720570
2014-04-21,56.54,57.0,55.27,56.02,4338108
2014-04-22,56.5,57.29,55.4,55.85,3922111
2014-04-23,55.47,55.49,52.59,53.27,4858181
2014-04-24,51.0,51.95,48.88,51.64,8417168
2014-04-25,50.49,50.97,48.07,48.15,5557930
2014-04-28,48.33,48.91,46.25,47.9,4063010
2014-04-29,48.19,49.54,47.55,48.55,3076151
2014-04-30,48.0,48.0,46.54,47.8,4370983
2014-05-01,48.01,49.75,47.8,48.53,2227556
2014-05-02,48.93,49.29,47.8,48.15,1943477
2014-05-05,46.54,48.04,46.5,47.94,3560471
2014-05-06,48.01,48.789,47.36,47.48,2232771
2014-05-07,47.47,47.88,45.69,47.4,5040074
2014-05-08,47.29,48.49,46.93,47.38,2374395
2014-05-09,47.3,48.74,47.15,48.07,1758208
2014-05-12,48.65,49.1,48.2,48.63,2060164
2014-05-13,49.19,49.25,47.65,48.28,2194311
2014-05-14,47.83,48.6,47.5,47.77,1958577
2014-05-15,47.7,47.8,46.44,47.52,2955121
2014-05-16,47.66,47.98,46.73,47.68,1651921
2014-05-19,47.29,47.98,47.19,47.89,1569175
2014-05-20,47.5,48.3,47.15,47.25,2147146
2014-05-21,47.87,47.91,46.85,47.86,3752652
2014-05-22,46.16,46.69,43.0,43.0199,11129342
2014-05-23,43.13,46.91,42.4,46.53,9248269
2014-05-27,46.56,46.7,45.25,45.79,2561120
2014-05-28,46.29,46.44,44.71,45.07,2182612
2014-05-29,45.24,47.605,44.851,46.64,3385800
2014-05-30,46.65,46.84,44.63,44.81,2424457
2014-06-02,44.71,45.1499,43.88,44.17,1795098
2014-06-03,44.44,44.74,43.4,44.28,3039008
2014-06-04,44.09,44.44,43.53,44.24,2299205
2014-06-05,44.43,45.59,43.73,44.85,1869249
2014-06-06,44.88,45.41,44.67,44.82,1174970
2014-06-09,44.54,46.36,44.54,45.45,2198847
2014-06-10,45.88,45.95,44.8,45.31,1656017
2014-06-11,45.0,47.33,45.0,46.39,2697703
2014-06-12,46.94,47.77,45.53,45.88,2866735
2014-06-13,46.25,46.5,45.15,45.36,1706362
2014-06-16,45.5,45.5,44.79,44.99,1309725
2014-06-17,45.03,46.41,44.9,46.01,1951298
2014-06-18,46.28,46.95,45.62,46.72,2271998
