cityDate,week,img,weather,temperature,airquality,wind
今天 (12-26),,,晴,-1/12℃,中度,南风 微风
明天 (12-27),,,晴转多云,0/12℃,轻度,东南风 微风
周四 (12-28),,,多云,1/12℃,良,东南风 微风
周五 (12-29),,,多云,2/14℃,轻度,西南风 微风
周六 (12-30),,,多云,-4/11℃,轻度,西北风 3-5级
周日 (12-31),,,多云,-4/8℃,良,南风 微风
周一 (01-01),,,多云,-4/8℃,良,南风 微风
周二 (01-02),,,多云转阴,-3/8℃,良,南风 微风
周三 (01-03),,,小雨,0/4℃,良,东风 3-5级
周四 (01-04),,,阴,0/4℃,良,东北风 微风
周五 (01-05),,,雨夹雪转晴,-2/2℃,良,北风 微风
周六 (01-06),,,晴,-1/3℃,优,北风 微风
周日 (01-07),,,多云,-1/6℃,良,南风 微风
周一 (01-08),,,晴,0/7℃,良,东风 微风
周二 (01-09),,,多云,-1/6℃,良,北风 4-5级
今天 (12-26),,,晴,-1/12℃,中度,南风 微风
明天 (12-27),,,晴转多云,0/12℃,轻度,东南风 微风
周四 (12-28),,,多云,1/12℃,良,东南风 微风
周五 (12-29),,,多云,2/14℃,轻度,西南风 微风
周六 (12-30),,,多云,-4/11℃,良,西北风 3-5级
周日 (12-31),,,多云,-4/8℃,良,南风 微风
周一 (01-01),,,多云,-4/8℃,良,南风 微风
周二 (01-02),,,多云转阴,-3/8℃,优,南风 微风
周三 (01-03),,,小雨,0/4℃,良,东风 3-5级
周四 (01-04),,,阴,0/4℃,良,东北风 微风
周五 (01-05),,,雨夹雪转晴,-2/2℃,良,北风 微风
周六 (01-06),,,晴,-1/3℃,优,北风 微风
周日 (01-07),,,多云,-1/6℃,良,南风 微风
周一 (01-08),,,晴,0/7℃,良,东风 微风
周二 (01-09),,,多云,-1/6℃,良,北风 4-5级
今天 (12-26),,,晴,-1/12℃,中度,南风 微风
明天 (12-27),,,晴转多云,0/12℃,轻度,东南风 微风
周四 (12-28),,,多云,1/12℃,良,东南风 微风
周五 (12-29),,,多云,2/14℃,轻度,西南风 微风
周六 (12-30),,,多云,-4/11℃,良,西北风 3-5级
周日 (12-31),,,多云,-4/8℃,良,南风 微风
周一 (01-01),,,多云,-4/8℃,良,南风 微风
周二 (01-02),,,多云转阴,-3/8℃,优,南风 微风
周三 (01-03),,,小雨,0/4℃,良,东风 3-5级
周四 (01-04),,,阴,0/4℃,良,东北风 微风
周五 (01-05),,,雨夹雪转晴,-2/2℃,良,北风 微风
周六 (01-06),,,晴,-1/3℃,优,北风 微风
周日 (01-07),,,多云,-1/6℃,良,南风 微风
周一 (01-08),,,晴,0/7℃,良,东风 微风
周二 (01-09),,,多云,-1/6℃,良,北风 4-5级
今天 (12-26),,,晴,-1/12℃,中度,南风 微风
明天 (12-27),,,晴转多云,0/12℃,轻度,东南风 微风
周四 (12-28),,,多云,1/12℃,良,东南风 微风
周五 (12-29),,,多云,2/14℃,轻度,西南风 微风
周六 (12-30),,,多云,-4/11℃,良,西北风 3-5级
周日 (12-31),,,多云,-4/8℃,良,南风 微风
周一 (01-01),,,多云,-4/8℃,良,南风 微风
周二 (01-02),,,多云转阴,-3/8℃,优,南风 微风
周三 (01-03),,,小雨,0/4℃,良,东风 3-5级
周四 (01-04),,,阴,0/4℃,良,东北风 微风
周五 (01-05),,,雨夹雪转晴,-2/2℃,良,北风 微风
周六 (01-06),,,晴,-1/3℃,优,北风 微风
周日 (01-07),,,多云,-1/6℃,良,南风 微风
周一 (01-08),,,晴,0/7℃,良,东风 微风
周二 (01-09),,,多云,-1/6℃,良,北风 4-5级
